row_index,field,agent_a_value,agent_b_value,chosen_value,notes,serotype,group_id,context_value,outcome_title
1,outcome_overview_schedule,2 dose adult,1 dose adult,,,1,OG001,267,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
3,outcome_overview_schedule,2 dose adult,1 dose adult,,,3,OG001,56,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
5,outcome_overview_schedule,2 dose adult,1 dose adult,,,4,OG001,1029,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
7,outcome_overview_schedule,2 dose adult,1 dose adult,,,5,OG001,125,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
9,outcome_overview_schedule,2 dose adult,1 dose adult,,,6A,OG001,1475,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
11,outcome_overview_schedule,2 dose adult,1 dose adult,,,6B,OG001,1537,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
13,outcome_overview_schedule,2 dose adult,1 dose adult,,,7F,OG001,2076,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
15,outcome_overview_schedule,2 dose adult,1 dose adult,,,9V,OG001,1663,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
17,outcome_overview_schedule,2 dose adult,1 dose adult,,,14,OG001,647,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
19,outcome_overview_schedule,2 dose adult,1 dose adult,,,18C,OG001,1826,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
21,outcome_overview_schedule,2 dose adult,1 dose adult,,,19A,OG001,1172,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
23,outcome_overview_schedule,2 dose adult,1 dose adult,,,19F,OG001,574,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
25,outcome_overview_schedule,2 dose adult,1 dose adult,,,23F,OG001,361,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC)
