row_index,field,agent_a_value,agent_b_value,chosen_value,notes,serotype,group_id,context_value,outcome_title
0,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 4,OG000,2.89,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
0,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 4,OG000,2.89,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
1,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 4,OG001,4.64,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
1,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 4,OG001,4.64,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
2,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 6B,OG000,4.37,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
2,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 6B,OG000,4.37,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
3,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 6B,OG001,4.82,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
3,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 6B,OG001,4.82,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
4,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 9V,OG000,1.97,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
4,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 9V,OG000,1.97,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
5,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 9V,OG001,2.92,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
5,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 9V,OG001,2.92,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
6,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 14,OG000,9.76,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
6,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 14,OG000,9.76,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
7,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 14,OG001,11.59,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
7,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 14,OG001,11.59,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
8,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 18C,OG000,2.39,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
8,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 18C,OG000,2.39,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
9,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 18C,OG001,3.07,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
9,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 18C,OG001,3.07,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
10,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 19F,OG000,3.60,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
10,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 19F,OG000,3.60,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
11,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 19F,OG001,4.77,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
11,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 19F,OG001,4.77,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
12,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 23F,OG000,1.93,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
12,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 23F,OG000,1.93,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
13,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Common serotypes - serotype 23F,OG001,3.25,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
13,outcome_overview_time_frame_weeks,4,30,,,Common serotypes - serotype 23F,OG001,3.25,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
14,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Additional serotypes - serotype 1,OG000,4.14,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
14,outcome_overview_time_frame_weeks,4,30,,,Additional serotypes - serotype 1,OG000,4.14,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
15,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Additional serotypes - serotype 1,OG001,0.02,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
15,outcome_overview_time_frame_weeks,4,30,,,Additional serotypes - serotype 1,OG001,0.02,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
16,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Additional serotypes - serotype 3,OG000,1.20,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
16,outcome_overview_time_frame_weeks,4,30,,,Additional serotypes - serotype 3,OG000,1.20,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
17,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Additional serotypes - serotype 3,OG001,0.05,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
17,outcome_overview_time_frame_weeks,4,30,,,Additional serotypes - serotype 3,OG001,0.05,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
18,outcome_overview_dose_description,1m post dose 1 child,30w post dose 1 child,,,Additional serotypes - serotype 5,OG000,2.47,"Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal Immunoglobulin G (IgG) Antibody, 1 Month After the Infant Series"
