row_index,field,agent_a_value,agent_b_value,chosen_value,notes,serotype,group_id,context_value,outcome_title
0,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"1 (n=366, 366)",OG000,103,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
0,outcome_overview_time_frame_weeks,,4,,,"1 (n=366, 366)",OG000,103,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
1,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"1 (n=366, 366)",OG001,78,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
1,outcome_overview_time_frame_weeks,,4,,,"1 (n=366, 366)",OG001,78,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
2,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"3 (n=365, 367)",OG000,44,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
2,outcome_overview_time_frame_weeks,,4,,,"3 (n=365, 367)",OG000,44,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
3,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"3 (n=365, 367)",OG001,61,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
3,outcome_overview_time_frame_weeks,,4,,,"3 (n=365, 367)",OG001,61,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
4,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"4 (n=360, 362)",OG000,1016,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
4,outcome_overview_time_frame_weeks,,4,,,"4 (n=360, 362)",OG000,1016,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
5,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"4 (n=360, 362)",OG001,392,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
5,outcome_overview_time_frame_weeks,,4,,,"4 (n=360, 362)",OG001,392,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
6,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"5 (n=350, 361)",OG000,347,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
6,outcome_overview_time_frame_weeks,,4,,,"5 (n=350, 361)",OG000,347,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
7,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"5 (n=350, 361)",OG001,118,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
7,outcome_overview_time_frame_weeks,,4,,,"5 (n=350, 361)",OG001,118,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
8,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"6B (n=360, 359)",OG000,1995,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
8,outcome_overview_time_frame_weeks,,4,,,"6B (n=360, 359)",OG000,1995,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
9,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"6B (n=360, 359)",OG001,1440,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
9,outcome_overview_time_frame_weeks,,4,,,"6B (n=360, 359)",OG001,1440,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
10,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"7F (n=365, 364)",OG000,1901,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
10,outcome_overview_time_frame_weeks,,4,,,"7F (n=365, 364)",OG000,1901,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
11,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"7F (n=365, 364)",OG001,1361,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
11,outcome_overview_time_frame_weeks,,4,,,"7F (n=365, 364)",OG001,1361,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
12,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,"9V (n=365,358)",OG000,858,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
12,outcome_overview_time_frame_weeks,,4,,,"9V (n=365,358)",OG000,858,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 12 Common Serotypes 1 Month After Vaccination
