row_index,field,agent_a_value,agent_b_value,chosen_value,notes,serotype,group_id,context_value,outcome_title
0,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG000,3.76,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
0,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG000,3.76,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
1,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG001,3.30,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
1,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG001,3.30,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
2,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG002,3.12,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
2,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG002,3.12,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
3,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG000,1.13,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
3,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG000,1.13,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
4,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG001,0.57,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
4,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG001,0.57,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
5,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG002,0.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
5,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG002,0.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
6,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 4,OG000,1.96,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
6,outcome_overview_time_frame_weeks,,4,,,Serotype 4,OG000,1.96,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
7,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 4,OG001,1.03,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
7,outcome_overview_time_frame_weeks,,4,,,Serotype 4,OG001,1.03,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
8,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 4,OG002,2.09,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
8,outcome_overview_time_frame_weeks,,4,,,Serotype 4,OG002,2.09,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
9,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 5,OG000,3.99,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
9,outcome_overview_time_frame_weeks,,4,,,Serotype 5,OG000,3.99,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
10,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 5,OG001,2.70,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
10,outcome_overview_time_frame_weeks,,4,,,Serotype 5,OG001,2.70,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
11,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 5,OG002,2.76,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
11,outcome_overview_time_frame_weeks,,4,,,Serotype 5,OG002,2.76,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
12,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6A,OG000,4.88,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
12,outcome_overview_time_frame_weeks,,4,,,Serotype 6A,OG000,4.88,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
13,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6A,OG001,1.14,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
13,outcome_overview_time_frame_weeks,,4,,,Serotype 6A,OG001,1.14,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
14,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6A,OG002,4.86,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
14,outcome_overview_time_frame_weeks,,4,,,Serotype 6A,OG002,4.86,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
15,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6B,OG000,5.43,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
15,outcome_overview_time_frame_weeks,,4,,,Serotype 6B,OG000,5.43,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
16,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6B,OG001,2.01,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
16,outcome_overview_time_frame_weeks,,4,,,Serotype 6B,OG001,2.01,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
17,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 6B,OG002,2.81,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
17,outcome_overview_time_frame_weeks,,4,,,Serotype 6B,OG002,2.81,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
18,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 7F,OG000,4.59,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
18,outcome_overview_time_frame_weeks,,4,,,Serotype 7F,OG000,4.59,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
19,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 7F,OG001,3.74,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
19,outcome_overview_time_frame_weeks,,4,,,Serotype 7F,OG001,3.74,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
20,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 7F,OG002,6.06,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
20,outcome_overview_time_frame_weeks,,4,,,Serotype 7F,OG002,6.06,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
21,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 9V,OG000,4.05,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
21,outcome_overview_time_frame_weeks,,4,,,Serotype 9V,OG000,4.05,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
22,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 9V,OG001,2.72,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
22,outcome_overview_time_frame_weeks,,4,,,Serotype 9V,OG001,2.72,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
23,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 9V,OG002,3.41,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
23,outcome_overview_time_frame_weeks,,4,,,Serotype 9V,OG002,3.41,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
24,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 14,OG000,8.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
24,outcome_overview_time_frame_weeks,,4,,,Serotype 14,OG000,8.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
25,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 14,OG001,8.13,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
25,outcome_overview_time_frame_weeks,,4,,,Serotype 14,OG001,8.13,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
26,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 14,OG002,8.90,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
26,outcome_overview_time_frame_weeks,,4,,,Serotype 14,OG002,8.90,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
27,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 18C,OG000,8.00,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
27,outcome_overview_time_frame_weeks,,4,,,Serotype 18C,OG000,8.00,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
28,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 18C,OG001,4.66,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
28,outcome_overview_time_frame_weeks,,4,,,Serotype 18C,OG001,4.66,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
29,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 18C,OG002,6.83,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
29,outcome_overview_time_frame_weeks,,4,,,Serotype 18C,OG002,6.83,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
30,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19A,OG000,9.36,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
30,outcome_overview_time_frame_weeks,,4,,,Serotype 19A,OG000,9.36,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
31,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19A,OG001,6.99,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
31,outcome_overview_time_frame_weeks,,4,,,Serotype 19A,OG001,6.99,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
32,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19A,OG002,11.36,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
32,outcome_overview_time_frame_weeks,,4,,,Serotype 19A,OG002,11.36,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
33,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19F,OG000,3.35,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
33,outcome_overview_time_frame_weeks,,4,,,Serotype 19F,OG000,3.35,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
34,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19F,OG001,4.17,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
34,outcome_overview_time_frame_weeks,,4,,,Serotype 19F,OG001,4.17,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
35,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 19F,OG002,4.80,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
35,outcome_overview_time_frame_weeks,,4,,,Serotype 19F,OG002,4.80,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
36,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 22F,OG000,5.21,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
36,outcome_overview_time_frame_weeks,,4,,,Serotype 22F,OG000,5.21,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
37,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 22F,OG001,1.98,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
37,outcome_overview_time_frame_weeks,,4,,,Serotype 22F,OG001,1.98,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
38,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 22F,OG002,0.38,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
38,outcome_overview_time_frame_weeks,,4,,,Serotype 22F,OG002,0.38,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
39,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 23F,OG000,5.55,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
39,outcome_overview_time_frame_weeks,,4,,,Serotype 23F,OG000,5.55,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
40,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 23F,OG001,1.82,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
40,outcome_overview_time_frame_weeks,,4,,,Serotype 23F,OG001,1.82,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
41,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 23F,OG002,3.41,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
41,outcome_overview_time_frame_weeks,,4,,,Serotype 23F,OG002,3.41,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
42,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 33F,OG000,11.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
42,outcome_overview_time_frame_weeks,,4,,,Serotype 33F,OG000,11.56,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
43,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 33F,OG001,8.26,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
43,outcome_overview_time_frame_weeks,,4,,,Serotype 33F,OG001,8.26,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
44,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 33F,OG002,0.85,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
44,outcome_overview_time_frame_weeks,,4,,,Serotype 33F,OG002,0.85,Geometric Mean Concentration (GMC) of Serotype-specific Immunoglobulin G (IgG) Antibodies
45,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG000,208.03,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
45,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG000,208.03,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
46,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG001,117.87,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
46,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG001,117.87,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
47,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 1,OG002,115.75,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
47,outcome_overview_time_frame_weeks,,4,,,Serotype 1,OG002,115.75,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
48,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG000,595.16,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
48,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG000,595.16,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
49,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG001,313.83,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
49,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG001,313.83,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
50,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 3,OG002,256.76,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
50,outcome_overview_time_frame_weeks,,4,,,Serotype 3,OG002,256.76,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
51,outcome_overview_dose_description,post dose 1,1m post dose 1 adult,,,Serotype 4,OG000,2875.79,Geometric Mean Titer (GMT) of Pneumococcal Serotype-specific Opsonophagocytic Activity (OPA) Antibodies
